x y
-2790500 -0.303
-2788000 -0.0505
-2785500 -0.202
-2783000 0.0505
-2780500 0.202
-2778000 0.101
-2775500 -0.1515
-2773000 -0.5555
-2770500 -0.404
-2768000 0.3535
-2765500 0.2525
-2763000 -0.202
-2760500 -0.202
-2758000 -0.3535
-2755500 0.202
-2753000 0.0505
-2750500 -0.0505
-2748000 0.3535
-2745500 0.5555
-2743000 0.2525
-2740500 0.808
-2738000 0.101
-2735500 0.404
-2733000 -0.3535
-2730500 -0.9595
-2728000 -1.3635
-2725500 -2.0705
-2723000 -2.323
-2720500 -2.8785
-2718000 -3.03
-2715500 -3.03
-2713000 -3.3835
-2710500 -2.828
-2708000 -2.525
-2705500 -2.828
-2703000 -2.9795
-2700500 -1.414
-2698000 -2.0705
-2695500 -1.8685
-2693000 -2.0705
-2690500 -1.6665
-2688000 -2.0705
-2685500 -2.7775
-2683000 -2.424
-2680500 -1.717
-2678000 -0.8585
-2675500 -0.808
-2673000 -0.101
-2670500 0
-2668000 0.0505
-2665500 -0.202
-2663000 -0.2525
-2660500 0.7575
-2658000 -0.1515
-2655500 0.303
-2653000 -0.7575
-2650500 -1.0605
-2648000 -1.5655
-2645500 -2.4745
-2643000 -3.232
-2640500 -2.626
-2638000 -2.323
-2635500 -1.414
-2633000 -1.2625
-2630500 -1.212
-2628000 -0.1515
-2625500 -0.303
-2623000 -0.5555
-2620500 -0.202
-2618000 -0.3535
-2615500 -1.2625
-2613000 -1.212
-2610500 -2.222
-2608000 -2.121
-2605500 -3.2825
-2603000 -3.0805
-2600500 -3.333
-2598000 -3.535
-2595500 -2.727
-2593000 -1.3635
-2590500 -1.2625
-2588000 -1.1615
-2585500 -0.3535
-2583000 0.202
-2580500 -0.303
-2578000 -0.1515
-2575500 -0.606
-2573000 -1.0605
-2570500 -1.3635
-2568000 -1.3635
-2565500 -1.6665
-2563000 -2.1715
-2560500 -0.909
-2558000 -0.8585
-2555500 -0.9595
-2553000 -1.1615
-2550500 -0.404
-2548000 -0.0505
-2545500 0.101
-2543000 -0.3535
-2540500 -0.7575
-2538000 -2.1715
-2535500 -2.727
-2533000 -2.6765
-2530500 -3.6865
-2528000 -3.4845
-2525500 -4.1915
-2523000 -4.6965
-2520500 -4.343
-2518000 -4.6965
-2515500 -4.646
-2513000 -3.4845
-2510500 -2.828
-2508000 -2.2725
-2505500 -1.111
-2503000 -1.414
-2500500 -0.7575
-2498000 0.101
-2495500 -1.1615
-2493000 -2.121
-2490500 -2.2725
-2488000 -3.1815
-2485500 -4.848
-2483000 -3.9895
-2480500 -3.838
-2478000 -2.525
-2475500 -2.525
-2473000 -1.8685
-2470500 -1.1615
-2468000 -0.606
-2465500 -0.5555
-2463000 -0.2525
-2460500 -0.0505
-2458000 -0.9595
-2455500 -0.9595
-2453000 -1.2625
-2450500 -2.4745
-2448000 -2.6765
-2445500 -3.5855
-2443000 -3.7875
-2440500 -4.04
-2438000 -4.0905
-2435500 -4.747
-2433000 -4.4945
-2430500 -4.8985
-2428000 -3.6865
-2425500 -2.323
-2423000 -1.4645
-2420500 -1.6665
-2418000 -0.7575
-2415500 -0.6565
-2413000 -0.8585
-2410500 -0.8585
-2408000 -0.4545
-2405500 -1.0605
-2403000 -2.4745
