x,temperature{thickness:5;stroke:yellow}
-250986,-6.55
-250769,-6.01
-250553,-6.49
-250329,-7.16
-250102,-6.79
-249883,-6.25
-249666,-6.5
-249448,-6.48
-249231,-6.34
-249021,-5.72
-248818,-5.29
-248618,-5.31
-248413,-6.17
-248199,-6.52
-247984,-6.39
-247772,-6.11
-247560,-6.48
-247345,-6.51
-247128,-6.76
-246907,-7.24
-246680,-7.41
-246453,-7.36
-246229,-7.1
-246007,-7.13
-245785,-7.13
-245566,-6.78
-245351,-6.6
-245135,-6.92
-244917,-7.07
-244700,-6.78
-244485,-6.83
-244269,-6.86
-244053,-7.07
-243834,-7.19
-243618,-6.71
-243407,-6.58
-243196,-6.72
-242983,-6.97
-242767,-7.07
-242551,-7.02
-242337,-6.94
-242124,-6.82
-241916,-6.38
-241714,-5.93
-241519,-5.46
-241330,-5.18
-241144,-4.93
-240959,-5.02
-240770,-5.65
-240576,-5.74
-240382,-5.8
-240187,-5.86
-239991,-6.1
-239792,-6.21
-239596,-5.8
-239406,-5.23
-239224,-4.82
-239048,-4.17
-238877,-3.85
-238711,-3.55
-238548,-3.43
-238387,-3.09
-238231,-2.59
-238080,-2.12
-237931,-2.22
-237784,-1.76
-237642,-1.29
-237506,-0.54
-237375,-0.18
-237248,0.46
-237125,0.56
-237003,0.69
-236883,0.99
-236764,1.12
-236647,1.3
-236532,1.55
-236419,1.66
-236306,1.75
-236194,1.9
-236084,2.09
-235975,2.2
-235866,1.99
-235755,1.74
-235643,1.73
-235529,1.03
-235410,0.36
-235288,0.48
-235166,0.16
-235043,0.1
-234916,-0.6
-234785,-0.94
-234652,-1.15
-234518,-1.17
-234385,-1.11
-234250,-1.4
-234114,-1.45
-233977,-1.89
-233836,-2.11
-233694,-2.13
-233552,-2.24
-233411,-1.92
-233271,-1.93
-233129,-2.44
-232984,-2.77
-232837,-2.65
-232694,-2.25
-232552,-2.22
-232411,-2.22
-232268,-2.66
-232122,-2.78
-231979,-2.33
-231836,-2.59
-231691,-2.87
-231542,-3.26
-231390,-3.71
-231236,-3.66
-231083,-3.44
-230930,-3.8
-230774,-3.91
-230617,-4.16
-230458,-4.29
-230299,-4.21
