x y
-29130 -8.05
-29216 -7.85
-29302 -7.65
-29387 -7.77
-29473 -8.03
-29560 -8.2
-29648 -7.93
-29733 -7.4
-29815 -7.14
-29896 -6.77
-29976 -6.74
-30056 -6.79
-30137 -7.09
-30219 -7.27
-30300 -6.61
-30380 -7.07
-30463 -7.49
-30546 -6.99
-30626 -6.62
-30705 -6.71
-30787 -7.47
-30871 -7.47
-30955 -7.29
-31039 -7.59
-31124 -7.6
-31209 -7.6
-31293 -7.34
-31376 -7.07
-31459 -7.44
-31544 -7.54
-31628 -7.31
-31711 -7.12
-31793 -7.17
-31877 -7.36
-31960 -7.17
-32041 -6.53
-32121 -6.88
-32202 -6.76
-32281 -6.25
-32360 -6.59
-32438 -6.08
-32515 -6.01
-32592 -6.15
-32669 -5.87
-32744 -5.7
-32818 -5.14
-32889 -4.82
-32960 -5.05
-33033 -5.52
-33108 -5.98
-33185 -5.9
-33261 -5.82
-33336 -5.39
-33409 -5.24
-33482 -5.37
-33556 -5.55
-33631 -5.65
-33705 -5.41
-33780 -5.62
-33855 -5.72
-33930 -5.77
-34007 -6.22
-34086 -6.4
-34166 -6.7
-34248 -7.03
-34331 -7.22
-34416 -7.7
-34502 -7.3
-34585 -6.67
-34666 -6.97
-34748 -6.65
-34827 -6.02
-34905 -6.32
-34985 -6.62
-35066 -6.76
-35148 -6.9
-35230 -6.9
-35313 -6.97
-35396 -7.2
-35479 -6.8
-35558 -5.97
-35637 -6.38
-35718 -6.88
-35799 -6.6
-35880 -6.45
-35959 -6.3
-36039 -6.43
-36120 -6.66
-36201 -6.8
-36284 -6.96
-36367 -7.09
-36451 -7.18
-36535 -7.18
-36619 -6.94
-36702 -6.73
-36783 -6.69
-36865 -6.64
-36946 -6.6
-37027 -6.56
-37107 -6.21
-37185 -5.93
-37263 -5.93
-37341 -6.16
-37420 -6.24
-37499 -6.24
-37579 -6.13
-37657 -6.13
-37735 -5.91
-37812 -5.48
-37889 -6.24
-37971 -6.96
-38054 -6.91
-38138 -7.21
-38223 -7.07
-38305 -6.31
-38386 -6.51
-38468 -6.91
-38551 -6.71
-38632 -6.56
-38714 -6.67
-38796 -6.46
-38875 -5.74
-38952 -5.74
-39031 -6.37
-39112 -6.59
-39191 -5.89
-39268 -5.19
-39342 -5.11
-39415 -5.02
-39489 -5.09
-39564 -5.48
-39638 -4.8
-39710 -4.53
-39782 -5.08
-39855 -4.81
-39927 -4.68
-40001 -5.27
-40077 -5.69
-40152 -4.99
-40225 -4.65
-40298 -5.3
-40374 -5.7
-40451 -5.4
-40527 -5.49
-40603 -5.43
-40679 -5.69
-40758 -6.13
-40837 -5.95
-40916 -5.88
-40994 -5.93
-41073 -5.8
-41150 -5.53
-41226 -5.5
-41304 -6.04
-41385 -6.45
-41464 -5.42
-41540 -5.47
-41619 -6.68
-41702 -6.6
-41785 -6.48
-41868 -6.94
-41952 -6.88
-42036 -6.72
-42120 -6.99
-42206 -7.27
-42292 -6.94
-42377 -6.97
-42463 -7.51
-42551 -7.13
-42634 -6.15
-42715 -6.55
-42800 -7.44
-42887 -7.04
-42972 -6.68
-43055 -6.72
-43139 -6.69
-43225 -7.4
-43315 -8.16
-43407 -7.91
-43497 -7.64
-43587 -7.94
-43677 -7.38
-43762 -6.55
-43846 -6.93
-43932 -7.01
-44018 -7.02
-44104 -7.39
-44193 -7.38
-44281 -7.47
-44370 -7.51
-44457 -7.15
-44543 -6.78
-44628 -6.9
-44713 -6.91
-44797 -6.48
-44881 -6.71
-44966 -6.92
-45050 -6.67
-45133 -6.29
-45214 -5.92
-45295 -6.17
-45378 -6.73
-45462 -6.55
-45546 -6.78
-45631 -6.99
-45716 -6.36
-45798 -6.28
-45881 -6.74
-45966 -6.85
-46050 -6.46
-46134 -6.65
-46218 -6.49
-46300 -6.02
-46381 -6.05
-46461 -5.8
-46541 -5.83
-46622 -6.26
-46704 -6.36
-46787 -6.48
-46870 -6.39
-46953 -6.24
-47034 -5.76
-47113 -5.77
-47193 -5.89
-47272 -5.51
-47350 -5.51
-47430 -5.89
-47510 -5.97
